timestamp,mid_price,bid_price,ask_price,inventory,realized_pnl,total_pnl
2025-12-19T13:00:29.539718,983.8,983.72,983.87,1,2.07,2.15
2025-12-19T13:00:30.595787,983.95,983.83,984.02,1,2.07,2.3
2025-12-19T13:00:31.652356,983.8,983.69,983.86,1,2.07,2.15
2025-12-19T13:00:32.711944,983.8,983.69,983.86,1,2.07,2.15
2025-12-19T13:00:33.768704,983.8,983.7,983.85,2,2.07,2.25
2025-12-19T13:00:34.824838,983.7,983.63,983.68,2,2.07,2.05
2025-12-19T13:00:35.884678,983.7,983.63,983.68,2,2.07,2.05
2025-12-19T13:00:36.942125,983.7,983.6,983.71,2,2.07,2.05
2025-12-19T13:00:38.002329,983.7,983.6,983.71,2,2.07,2.05
2025-12-19T13:00:39.061656,983.7,983.6,983.71,2,2.07,2.05
2025-12-19T13:00:40.120098,983.8,983.68,983.83,2,2.07,2.25
2025-12-19T13:00:41.181664,983.9,983.76,983.95,1,2.31,2.5
2025-12-19T13:00:42.239179,983.9,983.77,983.98,1,2.31,2.5
2025-12-19T13:00:43.296570,983.9,983.78,983.97,1,2.31,2.5
2025-12-19T13:00:44.361015,983.7,983.65,983.7,1,2.31,2.3
2025-12-19T13:00:45.421943,983.7,983.65,983.7,1,2.31,2.3
2025-12-19T13:00:46.481887,983.65,983.61,983.64,1,2.31,2.25
2025-12-19T13:00:47.539150,983.65,983.61,983.64,1,2.31,2.25
2025-12-19T13:00:48.598299,983.65,983.61,983.64,1,2.31,2.25
2025-12-19T13:00:49.653946,983.65,983.61,983.64,0,2.24,2.24
2025-12-19T13:00:50.711738,983.65,983.63,983.66,0,2.24,2.24
2025-12-19T13:00:51.771508,983.65,983.6,983.69,0,2.24,2.24
2025-12-19T13:00:52.829031,983.65,983.59,983.7,0,2.24,2.24
2025-12-19T13:00:53.893006,983.65,983.59,983.7,0,2.24,2.24
2025-12-19T13:00:54.958956,983.55,983.51,983.58,0,2.24,2.24
2025-12-19T13:00:56.018089,983.55,983.51,983.58,0,2.24,2.24
2025-12-19T13:00:57.084393,983.55,983.5,983.59,-1,2.24,2.28
2025-12-19T13:00:58.138412,983.65,983.61,983.72,-1,2.24,2.18
2025-12-19T13:00:59.198277,983.65,983.61,983.72,0,2.22,2.22
2025-12-19T13:01:00.256660,983.65,983.59,983.7,0,2.22,2.22
2025-12-19T13:01:01.312915,983.45,983.39,983.5,0,2.22,2.22
2025-12-19T13:01:02.369649,983.45,983.39,983.5,0,2.22,2.22
2025-12-19T13:01:03.427656,983.45,983.39,983.5,0,2.22,2.22
2025-12-19T13:01:04.485834,983.6,983.5,983.69,0,2.22,2.22
2025-12-19T13:01:05.544523,983.6,983.5,983.69,-1,2.22,2.31
